               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,             0.01217,           0.0042337,           0.0059922,             0.98612,                   1,               0.995,             0.95138,           0.0075168,           0.0016064,           0.0011735,           0.0011662,           0.0011662,           0.0011662
                 118,            0.011987,           0.0044612,           0.0062363,              0.9848,                   1,               0.995,             0.94825,           0.0079928,           0.0015822,           0.0011414,             0.00109,             0.00109,             0.00109
                 119,            0.011588,           0.0043232,           0.0055429,              0.9838,                   1,               0.995,             0.94625,            0.007826,           0.0015073,           0.0011144,           0.0010138,           0.0010138,           0.0010138
                 120,            0.011582,           0.0042384,           0.0056812,             0.98158,                   1,               0.995,             0.94825,           0.0076426,           0.0015378,           0.0011055,          0.00093769,          0.00093769,          0.00093769
                 121,            0.011477,           0.0041189,           0.0060471,             0.98152,                   1,               0.995,             0.95256,           0.0076595,           0.0015413,           0.0010495,          0.00086154,          0.00086154,          0.00086154
                 122,            0.011382,            0.004235,           0.0050385,             0.98037,                   1,               0.995,             0.95036,           0.0078508,           0.0016404,           0.0010295,          0.00078538,          0.00078538,          0.00078538
                 123,            0.011597,           0.0042962,           0.0069677,             0.97565,                   1,               0.995,             0.95016,           0.0072811,           0.0016394,           0.0010019,          0.00070923,          0.00070923,          0.00070923
                 124,            0.010759,           0.0037643,           0.0049173,             0.97886,                   1,               0.995,             0.94646,           0.0077972,           0.0015851,           0.0010595,          0.00063308,          0.00063308,          0.00063308
                 125,            0.010474,           0.0043357,           0.0047253,             0.97852,                   1,               0.995,             0.95662,           0.0071827,           0.0015398,          0.00098298,          0.00055692,          0.00055692,          0.00055692
                 126,            0.010882,           0.0041273,           0.0053851,             0.97905,                   1,               0.995,             0.95856,           0.0075964,           0.0015831,          0.00095063,          0.00048077,          0.00048077,          0.00048077
                 127,            0.010867,           0.0042014,           0.0055794,             0.97784,                   1,               0.995,             0.96163,           0.0071246,           0.0015591,          0.00093043,          0.00040462,          0.00040462,          0.00040462
                 128,            0.010146,           0.0040613,           0.0044103,             0.97782,                   1,               0.995,             0.95256,           0.0069663,           0.0015861,          0.00092207,          0.00032846,          0.00032846,          0.00032846
                 129,            0.010432,           0.0042973,           0.0053097,             0.98064,                   1,               0.995,             0.96255,           0.0069693,           0.0015321,          0.00090369,          0.00025231,          0.00025231,          0.00025231
